date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:10	175005/175005	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20May%202025%2019:21:04%20GMT	https://amandoyoga.cl/	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/index.html	(from )
15:21:11	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5e2f99fa9e940-gzip%22	https://amandoyoga.cl/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-includes/css/dist/block-library/style.min1eb7.css	(from https://amandoyoga.cl/)
15:21:11	1086/1086	---M-Z	200	added ('OK')	application/rss+xml	etag:%226d78f8e692bc405ca24325c78c937311-gzip%22	https://amandoyoga.cl/feed/	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/feed/index.html	(from https://amandoyoga.cl/)
15:21:11	763/763	---M-Z	200	added ('OK')	application/rss+xml	etag:%226d78f8e692bc405ca24325c78c937311-gzip%22	https://amandoyoga.cl/comments/feed/	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/comments/feed/index.html	(from https://amandoyoga.cl/)
15:21:11	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5ecf6a9e7df90-gzip%22	https://amandoyoga.cl/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://amandoyoga.cl/)
15:21:12	41065/41065	---MCZ	200	added ('OK')	text/css	etag:W/%22d61bfe9b56c13ecff5313ee3abb45e8b%22	https://use.fontawesome.com/releases/v5.0.13/css/all.css?ver=5.0.13	C:/Mis%20lugares%20Web/amandoyoga/use.fontawesome.com/releases/v5.0.13/css/all23c3.css	(from https://amandoyoga.cl/)
15:21:12	614/614	---M-Z	200	added ('OK')	text/css	etag:%22266-5ed0aacd7f228-gzip%22	https://amandoyoga.cl/wp-content/themes/blade/style.css?ver=1.3.4	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/themes/blade/stylec412.css	(from https://amandoyoga.cl/)
15:21:13	3970/3970	---M-Z	200	added ('OK')	text/css	etag:%22f82-614821b2e5f91-gzip%22	https://amandoyoga.cl/wp-content/themes/blade-child/style.css?ver=1.3.4	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/themes/blade-child/stylec412.css	(from https://amandoyoga.cl/)
15:21:13	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-5ed0aacd82108-gzip%22	https://amandoyoga.cl/wp-content/themes/blade/css/font-awesome.min.css?ver=4.7.0	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/themes/blade/css/font-awesome.min1849.css	(from https://amandoyoga.cl/)
15:21:13	8709/8709	---M-Z	200	added ('OK')	text/css	etag:%222205-5ed0aacd82108-gzip%22	https://amandoyoga.cl/wp-content/themes/blade/css/basic.css?ver=3.3.9	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/themes/blade/css/basic7558.css	(from https://amandoyoga.cl/)
15:21:13	13202/13202	---M-Z	200	added ('OK')	text/css	etag:%223392-5ed0aacd82108-gzip%22	https://amandoyoga.cl/wp-content/themes/blade/css/grid.css?ver=3.3.9	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/themes/blade/css/grid7558.css	(from https://amandoyoga.cl/)
15:21:14	133594/133594	---M-Z	200	added ('OK')	text/css	etag:%22209da-5ed0aacd82108-gzip%22	https://amandoyoga.cl/wp-content/themes/blade/css/theme-style.css?ver=3.3.9	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/themes/blade/css/theme-style7558.css	(from https://amandoyoga.cl/)
15:21:14	103703/103703	---M-Z	200	added ('OK')	text/css	etag:%2219517-5ed0aacd82108-gzip%22	https://amandoyoga.cl/wp-content/themes/blade/css/elements.css?ver=3.3.9	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/themes/blade/css/elements7558.css	(from https://amandoyoga.cl/)
15:21:14	3970/3970	---M-Z	200	added ('OK')	text/css	etag:%22f82-614821b2e5f91-gzip%22	https://amandoyoga.cl/wp-content/themes/blade-child/style.css?ver=3.3.9	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/themes/blade-child/style7558.css	(from https://amandoyoga.cl/)
15:21:15	10955/10955	---M-Z	200	added ('OK')	text/css	etag:%222acb-5ed0aacd82108-gzip%22	https://amandoyoga.cl/wp-content/themes/blade/css/responsive.css?ver=3.3.9	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/themes/blade/css/responsive7558.css	(from https://amandoyoga.cl/)
15:21:15	485521/485521	---M-Z	200	added ('OK')	text/css	etag:%2276891-5ed0abc47e67b-gzip%22	https://amandoyoga.cl/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=6.9.0	C:/Mis%20lugares%20Web/amandoyoga/amandoyoga.cl/wp-content/plugins/js_composer/assets/css/js_composer.mine1b2.css	(from https://amandoyoga.cl/)
